content,svm_sentiment,bayes_sentiment,df_scores,df_score_senti
运行 速度 屏幕 效果 有时候 画质 有点 不太好 吧 散热 性能 好 发热 有 声音 外形 外观 挺不错 轻薄 程度 较 重 方便 ,积极,积极,14.163,积极
喜欢 牌子 家里 电脑 是 牌子 ,积极,积极,2.267,积极
电脑 使用 感觉 开机 反应 挺快 轻薄 合适 适合 办公 物流 快 ,积极,积极,4.161,积极
女儿 买 学 森林 工程 学习 需要 收到 了 很 满意 ,积极,积极,8.401,积极
物流 快 东西 不错 运行 速度 快 赞 ,积极,积极,7.985,积极
外观 很漂亮 经典 THINKPAD 配置 高 性价比 高 ,积极,积极,7.102,积极
物流 质感 不错 买 了 送 人 很 轻薄 整体 配置 ,积极,积极,12.016,积极
运行 速度 好比 想象 好 屏幕 效果 清晰 散热 性能 还好 外形 外观 好 轻薄 程度 薄 特色 ,积极,积极,18.638,积极
轻薄 程度 轻盈 出差 带 出去 适合 外形 外观 款式 新颖 时尚 ,积极,积极,19.658,积极
商家 送 个 电脑包 光 电脑 没有 ,消极,积极,-0.697,消极
特色 电脑 新 拆开 看 了 配件 齐全 改该 有 有 散热 好 散热 铜 干净 服务 超级 好 ,积极,积极,15.416,积极
产品质量 好 物流 给予 好评 ,积极,积极,7.547,积极
不配 鼠标 没有 屏幕 膜 键盘 膜 买 了 准备 买 说 吧 ,消极,消极,0.866,积极
买 了 亏 请 合理 解释 ,消极,积极,-0.155,消极
帮 同事 买 到货 挺快 期待 质量 售后 ,积极,积极,4.969,积极
物流 收到 了 没用 外观 等用 了 评价 ,积极,积极,3.422,积极
运行 速度 追 追剧 看看 电影 效果 好 办公 方便 ,积极,积极,8.411,积极
一般般 啦 电池 续航 不够 小时 没有 电 了 ,消极,积极,-1.261,消极
外形 外观 外观 大方 轻薄 程度 轻薄 便于 携带 散热 性能 散热 性能 优良 运行 速度 速度 快 ,积极,积极,23.466,积极
散热 性能 良好 没有 发热 情况 轻薄 程度 觉 有点 厚 ,消极,积极,2.502,积极
活动 买 价格便宜 配置 能 满足 办公 需求 ,积极,积极,4.522,积极
运行 速度 快 屏幕 效果 好 散热 性能 好 外形 外观 亮亮 ,积极,积极,13.333,积极
媳妇 买 工作 出差 媳妇 很 喜欢 ,积极,积极,5.048,积极
运行 速度 挺快 性价比 高 散热 性能 不错 轻薄 程度 一般 ,积极,积极,10.029,积极
相信 京东 物美价廉 送货 速度 快 质量 有 保证 东西 收到 开始 使用 性能 没有 问题 ,积极,积极,19.215,积极
相信 京东 物美价廉 送货 速度 快 质量 有 保证 东西 收到 开始 使用 性能 没有 问题 ,积极,积极,19.215,积极
手提 突然 换成 觉得 大 了 着用 着 习惯 了 家用 完全 够用 了 ,积极,积极,-0.976,消极
大小 好 配置 够用 做工 精致 没 毛病 ,积极,积极,6.753,积极
存 照片 高 要求 外观 好看 ,积极,积极,4.686,积极
外形 外观 外观 质感 好 重量 适中 ,积极,积极,14.227,积极
外观 漂亮 机身 轻薄 开机 迅速 性能 稳定 价格 实惠 ,积极,积极,15.248,积极
运行 速度 不错 轻薄 程度 薄 外形 外观 大方 ,积极,积极,12.956,积极
屏幕 效果 好看 轻薄 程度 轻 ,积极,积极,4.523,积极
屏幕 效果 哈哈哈哈 哈哈哈哈 哈哈哈 ,消极,积极,4.285,积极
鼠标 没 发给 怎么弄 到 说 有 送 鼠标 骗人 啊 ,消极,消极,-6.513,消极
外形 外观 外观 超亮 很 喜欢 轻薄 程度 确实 轻薄 不错 噢 ,积极,积极,17.164,积极
东西 不错 原装 正品 送货 超快 下单 送达 东西 收到 开始 使用 性能 没有 问题 ,积极,积极,18.12,积极
孩子 买 综合 不错 ,积极,积极,2.642,积极
运行 速度 同事 买 应该 ,积极,积极,1.145,积极
好 东西 棒棒 哒 会 买 ,积极,积极,4.285,积极
好用 来 ,积极,积极,0.246,积极
运行 速度 速度 想象 快 很棒 物流 快 谢谢 京东 ,积极,积极,9.713,积极
公司 买 京东 是 产品质量 物流 售后 好 ,积极,积极,5.437,积极
感觉 超值 方面 觉得 流畅 ,积极,积极,3.897,积极
整体 满意 性价比 高 外加 G 内存 G SSD 用来 工作 敲 代码 很 舒服 显卡 打 大型 游戏 完全 OK 笔记本 扩展 内存 加 G 内存条 加装 机械 硬盘 缺点 是 重 快 kg 了 预装 系统 是 win10 家庭版 建议 关闭 win10 系统 驱动 漏洞 修复 使用 追求 稳定 好 啦 分 好评 ,积极,积极,20.841,积极
外形 外观 大方 有 质感 运行 速度 蛮快 很 流畅 ,积极,积极,12.757,积极
电脑 使用 配置 不高 学生 好评 ,积极,积极,4.271,积极
好 物流配送 快 电脑 喜欢 ,积极,积极,4.346,积极
运行 速度 快 轻薄 程度 很薄 轻便 外形 外观 很 好看 ,积极,积极,11.571,积极
折合 度 薄度 运行 流畅 ,积极,积极,2.167,积极
配置 高 使用 很 流畅 新 机器 速度 ,积极,积极,6.483,积极
拿到 看起来 不错 手感 ,积极,积极,6.527,积极
屏幕 效果 不错 运行 速度 不错 轻薄 程度 ,积极,积极,10.169,积极
速度 不错 送货 电脑配置 不错 ,积极,积极,5.907,积极
起来 感觉 吧 轻便 ,积极,积极,1.712,积极
有 质感 感觉 没有 想象 好 屏幕 效果 一般 ,消极,积极,6.895,积极
东西 很 不错 物流 ,积极,积极,4.483,积极
买完 没多久 降 了 联系 客服 没人 电脑 不值 建议 购买 ,消极,消极,4.934,积极
恶心 买完 送 了 买 时候 裸机 ,消极,积极,-2.849,消极
运行 速度 外观 漂亮 很 满意 ,积极,积极,8.531,积极
w10 系统 内存 不大 啊 起来 方便 ,消极,积极,-2.367,消极
买 朋友 儿子 京东 购物 速度 超快 赞 ,积极,积极,9.244,积极
买 完 杀价 了 花 了 块 ,消极,积极,4.162,积极
办公用品 选 京东 购置 支持 京东 ,积极,积极,15.903,积极
总体 行 反应 说 屏 分辨率 高 ,积极,积极,0.866,积极
运行 速度 开机 贼 快 开机 屏幕 效果 很 满意 屏幕 色彩 很棒 散热 性能 没 觉得 有 发热 办公 家用 足够 了 外形 外观 很 好看 商务 风 哈哈哈 轻薄 程度 轻便 家里 往 单位 携带 起来 很 方便 特色 性价比 很高 高端 机子 ,积极,积极,25.011,积极
老公 喜欢 久 了 下单 了 ,消极,积极,4.529,积极
轻薄 程度 轻 运行 速度 开机 快 ,积极,积极,2.254,积极
家里 看看 电影 编辑 文件 完全 够 了 ,积极,积极,-1.629,消极
运行 速度 比较慢 特色 没有 电脑包 没有 鼠标 ,消极,积极,2.318,积极
大牌 电脑 运行 流畅 屏幕 清楚 流线型 设计 很 喜欢 ,积极,积极,7.127,积极
没 使用 知道 常规 笔记本 用以 追评 ,积极,积极,5.902,积极
特价 好 便宜 性价比 高 品质 不错 ,积极,积极,13.756,积极
公司 采购 买 了 好 了 没什么 问题 挺好用 ,消极,积极,2.086,积极
买回来 没 跌 了 大洋 ,消极,积极,-0.221,消极
运行 速度 性价比 高 ,积极,积极,2.638,积极
性能 不错 很 轻薄 适合 办公 使用 ,积极,积极,11.084,积极
东西 不错 用来 送 人 很 喜欢 ,积极,积极,6.673,积极
运行 速度 速度 快 外形 外观 大气 轻薄 程度 很轻 ,积极,积极,10.045,积极
京东 送货 速度 快 值得 拥有 ,积极,积极,8.922,积极
买 了 没多久 掉价 亏 啊 ,消极,积极,-5.018,消极
运行 速度 行 屏幕 效果 不错 散热 性能 一般 外形 外观 好看 轻薄 程度 有点 重 特色 键盘 手感 不错 ,积极,积极,20.726,积极
笔记本 质量 外观 好看 起来 快 ,积极,积极,5.843,积极
轻薄 程度 轻薄 可爱 性能 强劲 ,积极,积极,10.924,积极
笔记本电脑 收到 没用 等用 一段时间 补评 吧 ,积极,积极,-0.039,消极
很好 商品 搞 活动 时 买 ,消极,积极,1.014,积极
性价比 不错 活动家 巴适 ,积极,积极,5.315,积极
了 帮 同事 买 ,消极,积极,-0.243,消极
单 到 了 神速 啊 电脑 好用 ,消极,积极,0.328,积极
好 买来 不到 天 降 了 难过 ,消极,积极,-0.456,消极
运行 速度 快 轻薄 程度 轻 ,积极,积极,3.458,积极
家人 买 很 喜欢 ,积极,积极,4.198,积极
截止 到 拆开 使用 ,消极,积极,2.026,积极
截止 到 拆开 使用 ,消极,积极,2.026,积极
换 用到 没什么 问题 ,消极,积极,-2.057,消极
朋友 推荐 买入 很 划算 看到 宝贝 喜欢 ,积极,积极,15.015,积极
运行 速度 快 散热 性能 好 ,积极,积极,5.49,积极
散热 性能 好 外形 外观 好 运行 速度 还行 ,积极,积极,10.909,积极
着 还行 速度 蛮快 ,积极,积极,-0.514,消极
运行 速度 贼 快 屏幕 效果 贼 炫 外形 外观 贼 美 ,积极,积极,8.161,积极
看着 一段时间 ,消极,积极,0.0,积极
好吃 送货 快 服务 好 继续 购买 京东 有 保证 ,积极,积极,12.62,积极
运行 速度 运行 速度 快 外形 美观 轻薄 不错 ,积极,积极,12.356,积极
运行 速度 较 快 屏幕 效果 良好 散热 性能 一般 ,积极,积极,7.053,积极
好用 不贵 办公 家用 划算 ,积极,积极,3.905,积极
外形 外观 低调 低调 低调 低调 ,积极,积极,9.63,积极
运行 速度 满意 轻薄 程度 满意 屏幕 效果 满意 ,积极,积极,13.384,积极
电脑 蛮好 性价比 高 一段时间 看 好坏 ,积极,积极,0.231,积极
满意 很 喜欢 满意 很 喜欢 满意 很 喜欢 满意 很 喜欢 ,积极,积极,22.905,积极
购物 愉快 商品 基本 满意 ,积极,积极,8.608,积极
买 公司 送货上门 ,消极,积极,2.491,积极
运行 速度 快 轻薄 程度 好 ,积极,积极,5.835,积极
感觉 行 键盘 有点 紧 ,积极,积极,-2.483,消极
轻薄 程度 不算 薄 觉得 好 散热 性能 散热 较 静音 运行 速度 开机 流畅 运行 速度 能 接受 ,积极,积极,9.81,积极
轻薄 携带方便 银色 高端 美观 商务 办公 使用 不错 ,积极,积极,13.314,积极
内存 是 记忆 科技 按理 是 三星 屏幕 是 联想 硬盘 使用 共计 小时 心情 不是太好 硬件 信息 如 图 屏幕 效果 一般般 运行 速度 挺快 是 开机 外形 外观 不错 ,积极,积极,7.145,积极
运行 速度 屏幕 效果 不错 轻薄 程度 薄 ,积极,积极,8.288,积极
运行 速度 慢 了 屏幕 效果 散热 性能 一般 ,积极,积极,4.947,积极
送货 速度 挺快 新买 笔记本电脑 有 问题 ,消极,积极,-0.347,消极
运行 速度 算快 ,积极,积极,1.301,积极
送货 办公 不错 ,积极,积极,3.026,积极
东西 不错 物美价廉 好 ,积极,积极,9.329,积极
运行 速度 运行 速度 快 流畅 屏幕 效果 屏幕 清晰 ,积极,积极,5.379,积极
开机 速度 快 响应 好 能 有 颜色 选择 了 ,积极,积极,6.184,积极
质量 用处 挺好 ,消极,积极,2.872,积极
算 满意 没有 注意 键盘 有 小键盘 好 了 ,积极,积极,4.641,积极
收到 感觉 行 知道 时间 长 了 会 不会 卡 ,消极,积极,-0.47,消极
运行 速度 速度 有点 慢 键 灵活 ,积极,积极,4.553,积极
运行 速度 快 屏幕 效果 好 外形 外观 亮 ,积极,积极,9.311,积极
公司 领导 使用 清楚 使用 状况 看着 高大 不错 ,积极,积极,4.438,积极
拿到 不久 感觉 还好 吧 知道 会 ,积极,积极,-0.396,消极
运行 速度 快 买来 送 人 小孩子 说 ,消极,积极,1.029,积极
办公 足够 样子 好 看清 薄 ,积极,积极,4.839,积极
送给 亲戚 礼物 大学生 有点 小 奢侈 了 ,消极,积极,7.551,积极
使用 感觉 还好 发现 满意 ,积极,积极,2.606,积极
很 好看 开机 速度 快 ,积极,积极,1.105,积极
收到 货 没有 知道 配置 账户 呢 ,消极,积极,1.411,积极
屏幕 效果 行 外形 外观 银色 好看 黑色 好看 轻薄 程度 整体 行 用于 办公 大 问题 银色 好看 电源 电脑 鼠标 买 电脑包 没有 不划算 一段时间 看 效果 希望 着 不卡 吧 有 赠品 最好 了 ,积极,积极,20.363,积极
好 不错 推荐 购买 ,积极,积极,8.13,积极
收到 看着 不错 等用 一段时间 来 追评 ,积极,积极,4.647,积极
使用 起来 方便 ,积极,积极,2.446,积极
外形 外观 好看 轻薄 程度 薄 运行 速度 还行 ,积极,积极,9.14,积极
房产局 房产局 好 ,积极,积极,2.073,积极
外观 漂亮 屏幕 效果 超棒 运行 速度 快 超级 满意 ,积极,积极,9.276,积极
战友 买 东西 不错 ,积极,积极,4.21,积极
表弟 买 信赖 ThinkPad 品牌 ,积极,积极,7.225,积极
此 用户 未填写 评价 内容 公司员工 买 应该 不错 ,积极,积极,6.346,积极
电脑 很 轻薄 流畅 性价比 高 值得 购买 ,积极,积极,10.263,积极
电脑 外观 不错 性能 希望 好 ,积极,积极,9.28,积极
此 用户 未填写 评价 内容 工作 忙 没 来得及 评价 系统 自动 了 好评 想 大家 说 是 垃圾 服务 恶劣 态度 购买 体验 超级 差 有 问题 解决 厂家 售后 是从 工厂 买 吗 买 解决 吗 店 大 欺负 小 客户 吗 做生意 有 做 吗 诚信 呢 商家 ,消极,消极,10.485,积极
感觉 行 运行 办公 完全 问题 ,积极,积极,-2.076,消极
性能 超级 棒 起来 上手 ,积极,积极,4.692,积极
外形 外观 外观 造型 设计 理念 是 喜欢 选择 ,积极,积极,12.848,积极
买 了 了 便宜 好 ,消极,积极,3.744,积极
买 了 了 便宜 好 ,消极,积极,3.744,积极
运行 速度 屏幕 效果 散热 一般 厚重 达 不到 想要 轻薄 笔记本 效果 ,积极,积极,10.618,积极
屏幕 效果 好 运行 速度 快 外形 外观 帅 ,积极,积极,9.257,积极
运行 速度 快 屏幕 效果 细腻 散热 性能 中等 外形 外观 不错 轻薄 程度 中等 ,积极,积极,15.931,积极
没有 想 好 系统 有点 慢 ,消极,积极,0.511,积极
轻薄 程度 轻薄 ,积极,积极,5.422,积极
特色 好 ,积极,积极,4.019,积极
外形 外观 好看 ,积极,积极,4.608,积极
电脑 着 还行 轻薄 颜值 充电 速度 快 有时候 会 卡顿 ,积极,积极,0.405,积极
使用 ,消极,积极,1.141,积极
真香 ,消极,积极,3.631,积极
急用 了 事实上 中国 制造 有 足够 可靠性 小米 性能 差 做工 轻薄 耐用 很 推荐 ,积极,积极,14.747,积极
活动 价 买 超薄 太棒了 好 吗 好看 了 适用 了 感觉 行 开机 秒左右 屏幕 不太好 价格 放 着 运行 速度 挺不错 不卡 办公 刷剧 足够 了 买来 键盘 失灵 了 重启 好 了 知道 是不是 问题 机 电脑 卡住 了 总体 觉得 不错 性价比 好 姐妹 们 快 买 插播 型号 颜色 贵 了 开心 ,消极,积极,18.98,积极
运行 速度 目前为止 良好 特色 个性化 外观 年轻 时尚 ,积极,积极,14.025,积极
用惯 了 屏 感觉 屏 好 小 ,积极,积极,3.183,积极
运行 速度 快 屏幕 效果 细腻 散热 性能 外形 外观 一般 轻薄 程度 很 薄 特色 好 电脑 I7 说 是 雕 了 hellip hellip 买 电脑 纯属 办公 ug 设计 玩游戏 应该 显卡 会 吃力 总体 有 性价比 唯一 缺点 支持 pd 接口 说 京东 快递 是 速度 下单 送到 速度 还有 ,消极,积极,39.32,积极
了 一段时间 感觉 行 挺不错 ,积极,积极,-0.905,消极
好 ,积极,积极,2.073,积极
运行 速度 挺快 屏幕 效果 好 散热 性能 不错 外形 外观 好看 轻薄 程度 很 轻薄 特色 打游戏 很好 机子 入手 ,积极,积极,22.938,积极
运行 速度 屏幕 效果 散热 性能 还行 吧 外形 外观 贴 个 膜 轻薄 程度 特色 续航 能力 很 不错 华硕 好 了 物美价廉 性价比 高 值得 入手 ,积极,积极,27.27,积极
特色 电脑包 鼠标 没有 太抠 了 ,消极,积极,1.397,积极
运行 速度 行 屏幕 效果 亮 散热 性能 一般 外形 外观 霸气 轻薄 程度 不算 厚 ,积极,积极,12.982,积极
好用 喜欢 颜色 运行 速度 快 屏幕 效果 好 轻薄 程度 薄 散热 性能 好 ,积极,积极,16.121,积极
运行 速度 散热 性能 好 轻薄 程度 ,积极,积极,7.951,积极
运行 速度 好 屏幕 效果 好 轻薄 程度 挺薄 ,积极,积极,9.013,积极
很 不错 笔记本电脑 外观 时尚 配置 要求 同学 玩游戏 人 是 绰绰有余 啦 小米 笔记本 是 没有 好感 专业 做 电脑 厂家 同学 买回来 看 了 不错 希望 长时间 点 吧 起码 大学毕业 不要 吃 问题 京东 快递 哦 隔天 到 神速 ,积极,积极,21.53,积极
真香 ,消极,积极,3.631,积极
运行 速度 好 ,积极,积极,3.374,积极
运行 速度 运行 速度 快 屏幕 效果 屏幕 很 清晰 散热 性能 散热 强 外形 外观 外观 完美 轻薄 程度 轻薄 质感 好 特色 完美 扩 内存 了 ,消极,积极,29.918,积极
整体 感觉 唯一 太久 了 天才 到货 ,积极,积极,2.652,积极
运行 速度 整体 不错 进行 联盟 算啦 下下棋 吗 香 嘛 散热 性能 散热 不错 电脑 开机 容易 蓝屏 ,积极,积极,15.226,积极
垃圾 电脑 了 周 是 问题 卡 关不了 机 散热器 吹 大风 是 ,消极,积极,-3.598,消极
运行 速度 算 比较满意 ,积极,积极,0.24,积极
很棒 很爽 ,积极,积极,0.0,积极
运行 速度 快 字 了 得 屏幕 效果 p 惊艳 大屏 窄 边框 散热 性能 好 很 外形 外观 精致 无比 轻薄 程度 超薄 无与伦比 唯一 不足 单 现 生产 组装 太久 了 ,积极,积极,23.741,积极
运行 速度 软件 打开 速度 快 屏幕 效果 显示 清晰 细腻 散热 性能 风扇 没有 声音 散热 效果 好 外形 外观 外观 时尚 ,消极,积极,19.679,积极
外形 外观 很漂亮 颜值 控 表示 很 满意 轻薄 程度 很 轻薄 带上 上下班 方便 速度 快 喜欢 买买 买 ,积极,积极,18.779,积极
买 妹妹 指定 款式 ,消极,积极,5.869,积极
老公 买 速度 不错 老公 很 满意 ,积极,积极,10.232,积极
电脑 了 买回来 了 蓝屏 换 了 卡机 散热 声音 贼 响 主要 是 做 个 文档 干 游戏 玩 下载 说 电脑 有 好评 全 是 刷 出来 买 要 想 好 别跟我 买 了 后悔 买 电脑 吗 ,消极,消极,-4.308,消极
运行 速度 順暢 屏幕 效果 舒適 散热 性能 燙 外形 外观 好看 轻薄 程度 薄 重 ,积极,积极,11.26,积极
运行 速度 快 屏幕 效果 好 散热 性能 高 外形 外观 美 轻薄 程度 薄 ,积极,积极,16.497,积极
收货 没 来得及 拆 拆开 试用 ,消极,积极,1.695,积极
买 送货 速度 不用说 了 吧 收到 货 不久 了 一段时间 来 评价 性能 留意 久 了 看 搞 活动 立马 下单 了 便宜 了 打开 包装 惊艳 非常简单 设计 配置 作为 学生 党 办公 看剧 足够 了 能 玩游戏 哦 forall 键盘 好 没有 松动 情况 键程 合适 接口 少 了 侧身 开孔 确实 没有 插网 接口 需要 另购 转 接口 毛病 语音 助手 作用 说不上 话 屏幕 没有 漏光 情况 屏 占 比高 色域 饱和 散热 情况 使用 感觉 电脑 买 了 小米 手机 手环 是 小米 忠实 米粉 哈哈哈 总体 机器 不错 值得 购买 赞 ,消极,积极,29.454,积极
耍猴 抢购 能 叠加 银行 活动 力 使用 流畅 ,积极,积极,4.988,积极
颜值 还行 总得来说 使用 效果 差 小米 有 信心 做 手机 吧 小米 了 作用 学生 党 用来 看看 电视 做作业 看 视频 看着 看着 卡屏 只能 强制 重启 开 了 机 继续 看 卡 呵呵 开机 待机 全部 卡住 卡 桌面 只能 重启 看 卡 重启 卡 无语 死 小米 很 失望 垃圾 要买 劝 考虑 清楚 ,消极,消极,-15.113,消极
朋友 推荐 买 了 小米 电脑 运行 速度 屏幕 效果 清晰 散热 好 银色 外形 外观 好看 机身 很 轻薄 感觉 小米 电器 值得 信赖 希望 能耐 选择 京东 自营 买 电脑 相信 京东 品质 服务 使用 电脑 做 PPT word 使用 不错 哦 手机 方便 啦 ,消极,积极,47.861,积极
小米 品质 不错 电脑 很 薄 喜欢 ,积极,积极,10.35,积极
运行 速度 散热 效果 好 轻薄 到 没有 网线 接口 ,积极,积极,7.942,积极
运行 速度 好 ,积极,积极,3.374,积极
运行 速度 挺快 屏幕 效果 清晰 外形 外观 外观 好 漂亮 没 摄像头 没 光驱 ,积极,积极,10.93,积极
散热 好 轻薄 运行 速度 流畅 cf 联盟 没有 卡顿 鲁 大师 跑 分 wnan ,积极,积极,10.696,积极
还好 吧 ,消极,积极,0.125,积极
轻薄 程度 蛮薄 ,消极,积极,2.461,积极
感觉 不错 运行 很 轻薄 没有 摄像头 散热器 声音 大 整体 不错 ,积极,积极,10.25,积极
吐 槽 买 了 不到 降 了 块钱 突然 觉得 好 坑 啊 没有 价保 ,消极,消极,-7.412,消极
外形 外观 价格 合适 ,积极,积极,6.214,积极
运行 速度 开机 启动 几秒钟 外形 外观 外观 时尚 ,积极,积极,10.89,积极
全部 做 得 全 银色 ,消极,积极,2.684,积极
满意 会 买 相信 品牌 相信 京东 ,积极,积极,10.893,积极
效果 好 ,积极,积极,3.894,积极
知道 上传 视频 是否 有 声音 风扇 声音 很大 基本 没 运行 程序 时候 风扇 声音 很大 好 了 网卡 可能 问题 吧 没什么 了 ,消极,积极,1.855,积极
大 品牌 轻薄 有 质感 ,积极,积极,8.958,积极
运行 速度 速度 快 屏幕 效果 画面 清晰 外形 外观 外观 美丽 手感 好 喜欢 小米 产品 棒 ,积极,积极,22.993,积极
出现 屏幕 闪动 问题 ,消极,积极,-1.915,消极
散热 性能 满意 ,积极,积极,4.955,积极
轻薄 程度 好 外形 外观 不错 ,积极,积极,10.531,积极
运行 速度 快 声音 很小 屏幕 效果 效果 好 散热 性能 没 感觉 到 热 外形 外观 棒 轻薄 程度 想象 薄 特色 一键 安装 语音 向导 考虑 很 周到 ,积极,积极,22.209,积极
不错 电脑 欢迎 大家 选购 ,积极,积极,11.056,积极
笔记本 整体 手感 厚度 挺不错 运行 声音 不大 死 过 机 知道 原因 ,积极,积极,7.025,积极
速度 挺快 推荐 ps 工作 买 了 每 来 受得了 打开 ps 干 厨房 切菜 回来 了 小米 坑 啊 ,积极,积极,0.446,积极
发货 ,消极,积极,0.987,积极
买不到 系统 坏死 买 经常出现 闪屏 问题 电脑 所有 重要 资料 丢失 售后 告诉 无法 恢复 损失 来 赔 站 出来 回答 问题 吗 推卸责任 想 说 台 电脑 过于 辣鸡 奉劝 大家 不要 购买 坑坑 坑 ,消极,消极,-12.157,消极
帮 朋友 买 据说 性价比 高 算 轻薄 散热 哈哈 重点 有 返 jindong 一举两得 ,积极,积极,10.044,积极
运行 速度 运行 速度 满意 散热 性能 散热 好 没什么 问题 外形 外观 颜值 高 值得 推荐 ,积极,积极,17.423,积极
轻薄 程度 很 轻巧 运行 速度 速度 外形 外观 时尚 ,积极,积极,13.931,积极
很 佩服 订单 送过来 散热 声音 游戏 有 拼 客服 打话 说 商品 没 问题 有 问题 ,消极,消极,3.048,积极
电脑 运行 通畅 外形 美观 ,积极,积极,6.083,积极
此 用户 未填写 评价 内容 质量 好 速度 ,积极,积极,7.166,积极
运行 速度 优 轻薄 程度 优 屏幕 效果 优 外形 外观 优 ,积极,积极,16.267,积极
大大的 赞 不错 产品 来 购买 ,积极,积极,8.95,积极
小米 笔记本 力 买 了 了 不错 笔记本 ,积极,积极,10.45,积极
运行 速度 快 轻薄 程度 漂亮 外形 外观 好看 ,积极,积极,10.605,积极
电脑 请 大家 慎重 买 卡 只能 一般 办公 ,消极,积极,0.9,积极
了 了 感觉 还行 吧 办公 没 问题 打 联盟 遗憾 没有 摄像头 没有 指纹识别 ,消极,消极,-0.408,消极
了 不到 屏 黑 了 需要 手电 照着 才能 看到 ,消极,消极,-1.145,消极
此 用户 未填写 评价 内容 ,消极,积极,3.911,积极
外形 外观 好看 ,积极,积极,4.608,积极
运行 速度 行 屏幕 效果 行 散热 性能 建议 大家 去 追加 评价 看看 翻翻 视频 晒 单 评价 声音 霍霍 霍 很大 难受 开始 没 发现 联网 了退 不了 打游戏 声音 难受 电脑 声音 不相上下 难受 外形 外观 行 轻薄 程度 较薄 特色 一般 ,积极,积极,8.877,积极
软件 使用 易 闪现 超级 耐 电 根本 没有 好 ,消极,积极,2.4,积极
外形 外观 外观 适合 审美观念 轻薄 程度 携带方便 运行 速度 ,积极,积极,10.261,积极
还行 吧 ,积极,积极,0.125,积极
运行 速度 行 屏幕 效果 行 散热 性能 行 外形 外观 一般 轻薄 程度 一般 特色 外放 音乐 有 问题 放歌 很 奇怪 没过 呢 出 问题 了 ,积极,积极,8.951,积极
整体 有点 卡 ,消极,积极,2.42,积极
回购 电脑 总体 ,积极,积极,1.197,积极
见 过 最 垃圾 电脑 没 到 坏 了 售后服务 差 死机 板砖 小米 是 垃圾 做 电脑 求 拿 出来 卖 顾客 相信 结果 电脑 没 下载 办公 坏 了 是 醉 了 开机 开 不了 ,消极,消极,-5.653,消极
运行 速度 卡 说 了 不到 基本 没装 软件 做 个 表格 是 卡一卡 滚轮 滚动 楞 做 个 反应 散热 性能 差 ,消极,积极,-5.718,消极
东西 好 女儿 喜欢 京东 快 ,积极,积极,9.684,积极
运行 速度 流畅 轻薄 程度 理想 外形 外观 完好 ,积极,积极,11.274,积极
不太好 ,消极,积极,0.0,积极
喜欢 适合 女孩子 ,积极,积极,3.746,积极
运行 速度 快 散热 性能 好 外形 外观 漂亮 ,积极,积极,11.071,积极
运行 速度 慢 ,积极,积极,1.183,积极
同事 买 说 是 方便 简单 很 喜欢 ,积极,积极,4.957,积极
买 买给 大学 晚辈 笔记本 轻薄 便于 携带 方便 金属材料 耐用 送 个 摄像头 笔记本 包 了 配送 快 ,积极,积极,17.878,积极
运行 速度 快 屏幕 效果 色彩 度 好 散热 性能 双 风扇 外形 外观 美美 哒 轻薄 程度 很薄 ,积极,积极,17.198,积极
屏幕 效果 ,消极,积极,1.104,积极
买 c 是 jd 买 价格 实惠 质量 好 是 正品 快递 准时 ,积极,积极,11.135,积极
出现 小 问题 售后 处理 服务态度 不错 ,消极,积极,3.106,积极
运行 速度 运行 速度 炒 鸡 流畅 好 很 喜欢 屏幕 效果 屏幕 艳丽 色彩 饱和度 完美 喜欢 散热 性能 玩 大型 游戏 基本上 不怎么 发烫 外形 外观 外观 很 好看 像 变形金刚 很 喜欢 很 喜欢 轻薄 程度 很 薄 很小 觉得 哦 特色 很 期待 做出 优质 产品 ,消极,积极,50.247,积极
小米 忠实 粉丝 小米 手环 小米 水杯 小米 手机 小米 电动牙刷 小米 电脑 完美 ,积极,积极,8.755,积极
送货 速度 快 单 送到 了 键盘 按键 舒服 反应速度 快 开机 来 秒 物超所值 性价比 高 ,积极,积极,2.984,积极
好 ,积极,积极,2.073,积极
行 帮 姐 买 知道 质量 希望 杠杠 吧 ,积极,积极,2.809,积极
物流 速度 电脑 造型 不错 没有 问题 ,积极,积极,4.117,积极
相比 代 贵 了 钱 充电 接口 有 廉价 感 说 性价比 感觉 高 一般般 吧 ,积极,积极,-2.232,消极
妹妹 买 大学 活动 买 很 划算 好看 颜值 担当 ,积极,积极,7.11,积极
轻薄 程度 很薄 很轻 外形 外观 样子 高 好看 ,积极,积极,8.358,积极
买 女朋友 性价比 最高 比班 公室 买来 文件 要 好 i5 代 女朋友 反馈 着 不错 ,积极,积极,4.792,积极
颜值 高 很 轻薄 运行 速度 了 了 方面 不错 ,积极,积极,9.543,积极
十月份 买 了 简单 效果 大家 做 个 参考 是 数媒 专业 学生 一般 ps ai max 设计 软件 p 卡 cpu 满 功率 运行 后台 全部 关闭 还好 点 吧 没有 独显 好 价格便宜 真香 ,积极,积极,13.319,积极
运行 速度 语塞 不知 表达 一般 吧 性价比 高 屏幕 效果 细腻 散热 性能 天 冷 问题 大 外形 外观 有点 丑 可能 是 颜色 问题 银白色 要 ,积极,积极,7.563,积极
手感 好 价格 实惠 速度 快 ,积极,积极,10.096,积极
运行 速度 快 散热 性能 好 外形 外观 好 轻薄 程度 好 ,积极,积极,15.443,积极
